JKV_AZONOSITO,SZAVAZOKOR,JELOLT,SZAVAZAT,TIPUS,LISTA
227666,01_001_001,BÖRÖCZ LÁSZLÓ,446,EGYENI,FIDESZ
227666,01_001_001,CSÁRDI ANTAL,307,EGYENI,OSSZEFOGAS22
227666,01_001_001,HOTZ ANTAL,30,EGYENI,MKKP
227666,01_001_001,SZIKORA ISTVÁN,18,EGYENI,MIHAZANK
227666,01_001_001,SWIERKIEWICZ LARION,6,EGYENI,KIS_NORMALIS
227666,01_001_001,MURÁNYI GERGELY,5,EGYENI,MEMO
227666,01_001_001,SIMON GYÖRGY,3,EGYENI,KIS_ISZOM
227668,01_001_002,BÖRÖCZ LÁSZLÓ,407,EGYENI,FIDESZ
227668,01_001_002,CSÁRDI ANTAL,303,EGYENI,OSSZEFOGAS22
227668,01_001_002,HOTZ ANTAL,30,EGYENI,MKKP
227668,01_001_002,SZIKORA ISTVÁN,16,EGYENI,MIHAZANK
227668,01_001_002,MURÁNYI GERGELY,10,EGYENI,MEMO
227670,01_001_003,BÖRÖCZ LÁSZLÓ,311,EGYENI,FIDESZ
227670,01_001_003,CSÁRDI ANTAL,257,EGYENI,OSSZEFOGAS22
227670,01_001_003,HOTZ ANTAL,22,EGYENI,MKKP
227670,01_001_003,MURÁNYI GERGELY,9,EGYENI,MEMO
227670,01_001_003,SZIKORA ISTVÁN,9,EGYENI,MIHAZANK
227670,01_001_003,SWIERKIEWICZ LARION,1,EGYENI,KIS_NORMALIS
227672,01_001_004,BÖRÖCZ LÁSZLÓ,442,EGYENI,FIDESZ
227672,01_001_004,CSÁRDI ANTAL,280,EGYENI,OSSZEFOGAS22
227672,01_001_004,HOTZ ANTAL,24,EGYENI,MKKP
227672,01_001_004,SZIKORA ISTVÁN,11,EGYENI,MIHAZANK
227672,01_001_004,MURÁNYI GERGELY,8,EGYENI,MEMO
227672,01_001_004,SWIERKIEWICZ LARION,3,EGYENI,KIS_NORMALIS
227672,01_001_004,SIMON GYÖRGY,2,EGYENI,KIS_ISZOM
227674,01_001_005,BÖRÖCZ LÁSZLÓ,339,EGYENI,FIDESZ
227674,01_001_005,CSÁRDI ANTAL,302,EGYENI,OSSZEFOGAS22
227674,01_001_005,HOTZ ANTAL,27,EGYENI,MKKP
227674,01_001_005,SZIKORA ISTVÁN,19,EGYENI,MIHAZANK
227674,01_001_005,MURÁNYI GERGELY,8,EGYENI,MEMO
227674,01_001_005,SWIERKIEWICZ LARION,2,EGYENI,KIS_NORMALIS
227674,01_001_005,SIMON GYÖRGY,1,EGYENI,KIS_ISZOM
227676,01_001_006,CSÁRDI ANTAL,366,EGYENI,OSSZEFOGAS22
227676,01_001_006,BÖRÖCZ LÁSZLÓ,335,EGYENI,FIDESZ
227676,01_001_006,HOTZ ANTAL,39,EGYENI,MKKP
227676,01_001_006,SZIKORA ISTVÁN,20,EGYENI,MIHAZANK
227676,01_001_006,MURÁNYI GERGELY,7,EGYENI,MEMO
227676,01_001_006,SWIERKIEWICZ LARION,3,EGYENI,KIS_NORMALIS
227678,01_001_007,CSÁRDI ANTAL,316,EGYENI,OSSZEFOGAS22
227678,01_001_007,BÖRÖCZ LÁSZLÓ,300,EGYENI,FIDESZ
227678,01_001_007,HOTZ ANTAL,32,EGYENI,MKKP
227678,01_001_007,SZIKORA ISTVÁN,15,EGYENI,MIHAZANK
227678,01_001_007,MURÁNYI GERGELY,3,EGYENI,MEMO
227678,01_001_007,SWIERKIEWICZ LARION,1,EGYENI,KIS_NORMALIS
227678,01_001_007,SIMON GYÖRGY,1,EGYENI,KIS_ISZOM
227680,01_001_008,CSÁRDI ANTAL,342,EGYENI,OSSZEFOGAS22
227680,01_001_008,BÖRÖCZ LÁSZLÓ,260,EGYENI,FIDESZ
227680,01_001_008,HOTZ ANTAL,28,EGYENI,MKKP
227680,01_001_008,SZIKORA ISTVÁN,27,EGYENI,MIHAZANK
227680,01_001_008,MURÁNYI GERGELY,5,EGYENI,MEMO
227680,01_001_008,SWIERKIEWICZ LARION,2,EGYENI,KIS_NORMALIS
227680,01_001_008,SIMON GYÖRGY,1,EGYENI,KIS_ISZOM
227682,01_001_009,CSÁRDI ANTAL,357,EGYENI,OSSZEFOGAS22
227682,01_001_009,BÖRÖCZ LÁSZLÓ,318,EGYENI,FIDESZ
227682,01_001_009,HOTZ ANTAL,33,EGYENI,MKKP
227682,01_001_009,SZIKORA ISTVÁN,20,EGYENI,MIHAZANK
227682,01_001_009,MURÁNYI GERGELY,14,EGYENI,MEMO
227682,01_001_009,SWIERKIEWICZ LARION,4,EGYENI,KIS_NORMALIS
227682,01_001_009,SIMON GYÖRGY,2,EGYENI,KIS_ISZOM
227684,01_001_010,CSÁRDI ANTAL,336,EGYENI,OSSZEFOGAS22
227684,01_001_010,BÖRÖCZ LÁSZLÓ,294,EGYENI,FIDESZ
227684,01_001_010,HOTZ ANTAL,45,EGYENI,MKKP
227684,01_001_010,SZIKORA ISTVÁN,20,EGYENI,MIHAZANK
227684,01_001_010,MURÁNYI GERGELY,11,EGYENI,MEMO
227684,01_001_010,SWIERKIEWICZ LARION,2,EGYENI,KIS_NORMALIS
227686,01_001_011,CSÁRDI ANTAL,353,EGYENI,OSSZEFOGAS22
227686,01_001_011,BÖRÖCZ LÁSZLÓ,316,EGYENI,FIDESZ
227686,01_001_011,HOTZ ANTAL,39,EGYENI,MKKP
227686,01_001_011,SZIKORA ISTVÁN,14,EGYENI,MIHAZANK
227686,01_001_011,MURÁNYI GERGELY,13,EGYENI,MEMO
227686,01_001_011,SWIERKIEWICZ LARION,4,EGYENI,KIS_NORMALIS
227686,01_001_011,SIMON GYÖRGY,1,EGYENI,KIS_ISZOM
227688,01_001_012,CSÁRDI ANTAL,355,EGYENI,OSSZEFOGAS22
227688,01_001_012,BÖRÖCZ LÁSZLÓ,324,EGYENI,FIDESZ
227688,01_001_012,HOTZ ANTAL,46,EGYENI,MKKP
227688,01_001_012,SZIKORA ISTVÁN,9,EGYENI,MIHAZANK
227688,01_001_012,MURÁNYI GERGELY,8,EGYENI,MEMO
227688,01_001_012,SIMON GYÖRGY,3,EGYENI,KIS_ISZOM
227688,01_001_012,SWIERKIEWICZ LARION,3,EGYENI,KIS_NORMALIS
227690,01_001_013,BÖRÖCZ LÁSZLÓ,376,EGYENI,FIDESZ
227690,01_001_013,CSÁRDI ANTAL,339,EGYENI,OSSZEFOGAS22
227690,01_001_013,HOTZ ANTAL,30,EGYENI,MKKP
227690,01_001_013,SZIKORA ISTVÁN,16,EGYENI,MIHAZANK
227690,01_001_013,SWIERKIEWICZ LARION,5,EGYENI,KIS_NORMALIS
227690,01_001_013,MURÁNYI GERGELY,4,EGYENI,MEMO
227692,01_001_014,CSÁRDI ANTAL,425,EGYENI,OSSZEFOGAS22
227692,01_001_014,BÖRÖCZ LÁSZLÓ,307,EGYENI,FIDESZ
227692,01_001_014,HOTZ ANTAL,50,EGYENI,MKKP
227692,01_001_014,SZIKORA ISTVÁN,12,EGYENI,MIHAZANK
227692,01_001_014,MURÁNYI GERGELY,10,EGYENI,MEMO
227692,01_001_014,SWIERKIEWICZ LARION,5,EGYENI,KIS_NORMALIS
227694,01_001_015,CSÁRDI ANTAL,342,EGYENI,OSSZEFOGAS22
227694,01_001_015,BÖRÖCZ LÁSZLÓ,292,EGYENI,FIDESZ
227694,01_001_015,HOTZ ANTAL,38,EGYENI,MKKP
227694,01_001_015,SZIKORA ISTVÁN,19,EGYENI,MIHAZANK
227694,01_001_015,MURÁNYI GERGELY,9,EGYENI,MEMO
227696,01_001_016,CSÁRDI ANTAL,329,EGYENI,OSSZEFOGAS22
227696,01_001_016,BÖRÖCZ LÁSZLÓ,279,EGYENI,FIDESZ
227696,01_001_016,HOTZ ANTAL,28,EGYENI,MKKP
227696,01_001_016,SZIKORA ISTVÁN,17,EGYENI,MIHAZANK
227696,01_001_016,MURÁNYI GERGELY,11,EGYENI,MEMO
227698,01_001_017,CSÁRDI ANTAL,389,EGYENI,OSSZEFOGAS22
227698,01_001_017,BÖRÖCZ LÁSZLÓ,316,EGYENI,FIDESZ
227698,01_001_017,HOTZ ANTAL,27,EGYENI,MKKP
227698,01_001_017,SZIKORA ISTVÁN,14,EGYENI,MIHAZANK
227698,01_001_017,MURÁNYI GERGELY,11,EGYENI,MEMO
227698,01_001_017,SWIERKIEWICZ LARION,3,EGYENI,KIS_NORMALIS
227698,01_001_017,SIMON GYÖRGY,2,EGYENI,KIS_ISZOM
227700,01_001_018,CSÁRDI ANTAL,358,EGYENI,OSSZEFOGAS22
227700,01_001_018,BÖRÖCZ LÁSZLÓ,335,EGYENI,FIDESZ
227700,01_001_018,HOTZ ANTAL,23,EGYENI,MKKP
227700,01_001_018,SZIKORA ISTVÁN,22,EGYENI,MIHAZANK
227700,01_001_018,SWIERKIEWICZ LARION,5,EGYENI,KIS_NORMALIS
227700,01_001_018,MURÁNYI GERGELY,4,EGYENI,MEMO
227700,01_001_018,SIMON GYÖRGY,1,EGYENI,KIS_ISZOM
227702,01_001_019,CSÁRDI ANTAL,317,EGYENI,OSSZEFOGAS22
227702,01_001_019,BÖRÖCZ LÁSZLÓ,275,EGYENI,FIDESZ
227702,01_001_019,HOTZ ANTAL,38,EGYENI,MKKP
227702,01_001_019,SZIKORA ISTVÁN,27,EGYENI,MIHAZANK
227702,01_001_019,MURÁNYI GERGELY,6,EGYENI,MEMO
227702,01_001_019,SWIERKIEWICZ LARION,3,EGYENI,KIS_NORMALIS
227704,01_001_020,CSÁRDI ANTAL,335,EGYENI,OSSZEFOGAS22
227704,01_001_020,BÖRÖCZ LÁSZLÓ,284,EGYENI,FIDESZ
227704,01_001_020,HOTZ ANTAL,24,EGYENI,MKKP
227704,01_001_020,MURÁNYI GERGELY,10,EGYENI,MEMO
227704,01_001_020,SZIKORA ISTVÁN,5,EGYENI,MIHAZANK
227704,01_001_020,SWIERKIEWICZ LARION,2,EGYENI,KIS_NORMALIS
227704,01_001_020,SIMON GYÖRGY,1,EGYENI,KIS_ISZOM
227706,01_002_001,TORDAI BENCE,396,EGYENI,OSSZEFOGAS22
227706,01_002_001,DR. GÓR CSABA,295,EGYENI,FIDESZ
227706,01_002_001,JUHÁSZ VERONIKA,31,EGYENI,MKKP
227706,01_002_001,NAGY ATTILA,19,EGYENI,MIHAZANK
227706,01_002_001,HORVÁTH DIÁNA,12,EGYENI,MEMO
227706,01_002_001,LÁZ JÓZSEF,5,EGYENI,KIS_NORMALIS
227708,01_002_002,TORDAI BENCE,343,EGYENI,OSSZEFOGAS22
227708,01_002_002,DR. GÓR CSABA,260,EGYENI,FIDESZ
227708,01_002_002,JUHÁSZ VERONIKA,40,EGYENI,MKKP
227708,01_002_002,NAGY ATTILA,19,EGYENI,MIHAZANK
227708,01_002_002,HORVÁTH DIÁNA,7,EGYENI,MEMO
227708,01_002_002,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227710,01_002_003,TORDAI BENCE,248,EGYENI,OSSZEFOGAS22
227710,01_002_003,DR. GÓR CSABA,216,EGYENI,FIDESZ
227710,01_002_003,JUHÁSZ VERONIKA,20,EGYENI,MKKP
227710,01_002_003,NAGY ATTILA,10,EGYENI,MIHAZANK
227710,01_002_003,HORVÁTH DIÁNA,5,EGYENI,MEMO
227710,01_002_003,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227712,01_002_004,TORDAI BENCE,395,EGYENI,OSSZEFOGAS22
227712,01_002_004,DR. GÓR CSABA,293,EGYENI,FIDESZ
227712,01_002_004,JUHÁSZ VERONIKA,36,EGYENI,MKKP
227712,01_002_004,HORVÁTH DIÁNA,16,EGYENI,MEMO
227712,01_002_004,NAGY ATTILA,15,EGYENI,MIHAZANK
227714,01_002_005,TORDAI BENCE,487,EGYENI,OSSZEFOGAS22
227714,01_002_005,DR. GÓR CSABA,310,EGYENI,FIDESZ
227714,01_002_005,JUHÁSZ VERONIKA,23,EGYENI,MKKP
227714,01_002_005,NAGY ATTILA,13,EGYENI,MIHAZANK
227714,01_002_005,HORVÁTH DIÁNA,11,EGYENI,MEMO
227714,01_002_005,LÁZ JÓZSEF,5,EGYENI,KIS_NORMALIS
227716,01_002_006,TORDAI BENCE,373,EGYENI,OSSZEFOGAS22
227716,01_002_006,DR. GÓR CSABA,268,EGYENI,FIDESZ
227716,01_002_006,JUHÁSZ VERONIKA,20,EGYENI,MKKP
227716,01_002_006,NAGY ATTILA,10,EGYENI,MIHAZANK
227716,01_002_006,HORVÁTH DIÁNA,7,EGYENI,MEMO
227716,01_002_006,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227718,01_002_007,TORDAI BENCE,354,EGYENI,OSSZEFOGAS22
227718,01_002_007,DR. GÓR CSABA,248,EGYENI,FIDESZ
227718,01_002_007,NAGY ATTILA,20,EGYENI,MIHAZANK
227718,01_002_007,JUHÁSZ VERONIKA,18,EGYENI,MKKP
227718,01_002_007,HORVÁTH DIÁNA,6,EGYENI,MEMO
227718,01_002_007,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227720,01_002_008,TORDAI BENCE,367,EGYENI,OSSZEFOGAS22
227720,01_002_008,DR. GÓR CSABA,301,EGYENI,FIDESZ
227720,01_002_008,JUHÁSZ VERONIKA,22,EGYENI,MKKP
227720,01_002_008,NAGY ATTILA,11,EGYENI,MIHAZANK
227720,01_002_008,HORVÁTH DIÁNA,7,EGYENI,MEMO
227720,01_002_008,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227722,01_002_009,TORDAI BENCE,357,EGYENI,OSSZEFOGAS22
227722,01_002_009,DR. GÓR CSABA,234,EGYENI,FIDESZ
227722,01_002_009,JUHÁSZ VERONIKA,24,EGYENI,MKKP
227722,01_002_009,NAGY ATTILA,11,EGYENI,MIHAZANK
227722,01_002_009,HORVÁTH DIÁNA,7,EGYENI,MEMO
227722,01_002_009,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227724,01_002_010,TORDAI BENCE,2657,EGYENI,OSSZEFOGAS22
227724,01_002_010,DR. GÓR CSABA,1233,EGYENI,FIDESZ
227724,01_002_010,JUHÁSZ VERONIKA,158,EGYENI,MKKP
227724,01_002_010,NAGY ATTILA,81,EGYENI,MIHAZANK
227724,01_002_010,HORVÁTH DIÁNA,29,EGYENI,MEMO
227724,01_002_010,LÁZ JÓZSEF,5,EGYENI,KIS_NORMALIS
227726,01_002_011,TORDAI BENCE,236,EGYENI,OSSZEFOGAS22
227726,01_002_011,DR. GÓR CSABA,184,EGYENI,FIDESZ
227726,01_002_011,JUHÁSZ VERONIKA,22,EGYENI,MKKP
227726,01_002_011,NAGY ATTILA,6,EGYENI,MIHAZANK
227726,01_002_011,HORVÁTH DIÁNA,6,EGYENI,MEMO
227726,01_002_011,LÁZ JÓZSEF,2,EGYENI,KIS_NORMALIS
227728,01_002_012,TORDAI BENCE,423,EGYENI,OSSZEFOGAS22
227728,01_002_012,DR. GÓR CSABA,303,EGYENI,FIDESZ
227728,01_002_012,JUHÁSZ VERONIKA,27,EGYENI,MKKP
227728,01_002_012,HORVÁTH DIÁNA,7,EGYENI,MEMO
227728,01_002_012,NAGY ATTILA,6,EGYENI,MIHAZANK
227728,01_002_012,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227730,01_002_013,TORDAI BENCE,258,EGYENI,OSSZEFOGAS22
227730,01_002_013,DR. GÓR CSABA,204,EGYENI,FIDESZ
227730,01_002_013,JUHÁSZ VERONIKA,18,EGYENI,MKKP
227730,01_002_013,NAGY ATTILA,12,EGYENI,MIHAZANK
227730,01_002_013,LÁZ JÓZSEF,4,EGYENI,KIS_NORMALIS
227730,01_002_013,HORVÁTH DIÁNA,1,EGYENI,MEMO
227732,01_002_014,TORDAI BENCE,359,EGYENI,OSSZEFOGAS22
227732,01_002_014,DR. GÓR CSABA,261,EGYENI,FIDESZ
227732,01_002_014,JUHÁSZ VERONIKA,17,EGYENI,MKKP
227732,01_002_014,NAGY ATTILA,9,EGYENI,MIHAZANK
227732,01_002_014,HORVÁTH DIÁNA,7,EGYENI,MEMO
227732,01_002_014,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227734,01_002_015,TORDAI BENCE,288,EGYENI,OSSZEFOGAS22
227734,01_002_015,DR. GÓR CSABA,268,EGYENI,FIDESZ
227734,01_002_015,JUHÁSZ VERONIKA,23,EGYENI,MKKP
227734,01_002_015,NAGY ATTILA,13,EGYENI,MIHAZANK
227734,01_002_015,HORVÁTH DIÁNA,8,EGYENI,MEMO
227734,01_002_015,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227736,01_002_016,TORDAI BENCE,375,EGYENI,OSSZEFOGAS22
227736,01_002_016,DR. GÓR CSABA,302,EGYENI,FIDESZ
227736,01_002_016,JUHÁSZ VERONIKA,29,EGYENI,MKKP
227736,01_002_016,NAGY ATTILA,12,EGYENI,MIHAZANK
227736,01_002_016,HORVÁTH DIÁNA,7,EGYENI,MEMO
227736,01_002_016,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227738,01_002_017,TORDAI BENCE,394,EGYENI,OSSZEFOGAS22
227738,01_002_017,DR. GÓR CSABA,236,EGYENI,FIDESZ
227738,01_002_017,JUHÁSZ VERONIKA,24,EGYENI,MKKP
227738,01_002_017,NAGY ATTILA,16,EGYENI,MIHAZANK
227738,01_002_017,HORVÁTH DIÁNA,6,EGYENI,MEMO
227738,01_002_017,LÁZ JÓZSEF,2,EGYENI,KIS_NORMALIS
227740,01_002_018,TORDAI BENCE,321,EGYENI,OSSZEFOGAS22
227740,01_002_018,DR. GÓR CSABA,228,EGYENI,FIDESZ
227740,01_002_018,JUHÁSZ VERONIKA,12,EGYENI,MKKP
227740,01_002_018,NAGY ATTILA,10,EGYENI,MIHAZANK
227740,01_002_018,HORVÁTH DIÁNA,6,EGYENI,MEMO
227740,01_002_018,LÁZ JÓZSEF,4,EGYENI,KIS_NORMALIS
227742,01_002_019,TORDAI BENCE,394,EGYENI,OSSZEFOGAS22
227742,01_002_019,DR. GÓR CSABA,246,EGYENI,FIDESZ
227742,01_002_019,JUHÁSZ VERONIKA,18,EGYENI,MKKP
227742,01_002_019,NAGY ATTILA,7,EGYENI,MIHAZANK
227742,01_002_019,HORVÁTH DIÁNA,2,EGYENI,MEMO
227744,01_002_020,TORDAI BENCE,360,EGYENI,OSSZEFOGAS22
227744,01_002_020,DR. GÓR CSABA,252,EGYENI,FIDESZ
227744,01_002_020,JUHÁSZ VERONIKA,14,EGYENI,MKKP
227744,01_002_020,NAGY ATTILA,9,EGYENI,MIHAZANK
227744,01_002_020,HORVÁTH DIÁNA,3,EGYENI,MEMO
227744,01_002_020,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227746,01_002_021,TORDAI BENCE,333,EGYENI,OSSZEFOGAS22
227746,01_002_021,DR. GÓR CSABA,285,EGYENI,FIDESZ
227746,01_002_021,JUHÁSZ VERONIKA,25,EGYENI,MKKP
227746,01_002_021,NAGY ATTILA,20,EGYENI,MIHAZANK
227746,01_002_021,HORVÁTH DIÁNA,7,EGYENI,MEMO
227746,01_002_021,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227748,01_002_022,TORDAI BENCE,353,EGYENI,OSSZEFOGAS22
227748,01_002_022,DR. GÓR CSABA,282,EGYENI,FIDESZ
227748,01_002_022,JUHÁSZ VERONIKA,12,EGYENI,MKKP
227748,01_002_022,HORVÁTH DIÁNA,10,EGYENI,MEMO
227748,01_002_022,NAGY ATTILA,8,EGYENI,MIHAZANK
227748,01_002_022,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227750,01_002_023,TORDAI BENCE,397,EGYENI,OSSZEFOGAS22
227750,01_002_023,DR. GÓR CSABA,256,EGYENI,FIDESZ
227750,01_002_023,JUHÁSZ VERONIKA,24,EGYENI,MKKP
227750,01_002_023,HORVÁTH DIÁNA,11,EGYENI,MEMO
227750,01_002_023,NAGY ATTILA,8,EGYENI,MIHAZANK
227750,01_002_023,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227752,01_002_024,TORDAI BENCE,397,EGYENI,OSSZEFOGAS22
227752,01_002_024,DR. GÓR CSABA,321,EGYENI,FIDESZ
227752,01_002_024,JUHÁSZ VERONIKA,21,EGYENI,MKKP
227752,01_002_024,NAGY ATTILA,11,EGYENI,MIHAZANK
227752,01_002_024,HORVÁTH DIÁNA,6,EGYENI,MEMO
227752,01_002_024,LÁZ JÓZSEF,4,EGYENI,KIS_NORMALIS
227754,01_002_025,TORDAI BENCE,372,EGYENI,OSSZEFOGAS22
227754,01_002_025,DR. GÓR CSABA,273,EGYENI,FIDESZ
227754,01_002_025,JUHÁSZ VERONIKA,21,EGYENI,MKKP
227754,01_002_025,NAGY ATTILA,12,EGYENI,MIHAZANK
227754,01_002_025,HORVÁTH DIÁNA,4,EGYENI,MEMO
227754,01_002_025,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227756,01_002_026,TORDAI BENCE,343,EGYENI,OSSZEFOGAS22
227756,01_002_026,DR. GÓR CSABA,304,EGYENI,FIDESZ
227756,01_002_026,JUHÁSZ VERONIKA,26,EGYENI,MKKP
227756,01_002_026,NAGY ATTILA,12,EGYENI,MIHAZANK
227756,01_002_026,HORVÁTH DIÁNA,10,EGYENI,MEMO
227756,01_002_026,LÁZ JÓZSEF,2,EGYENI,KIS_NORMALIS
227758,01_002_027,TORDAI BENCE,277,EGYENI,OSSZEFOGAS22
227758,01_002_027,DR. GÓR CSABA,267,EGYENI,FIDESZ
227758,01_002_027,JUHÁSZ VERONIKA,19,EGYENI,MKKP
227758,01_002_027,NAGY ATTILA,8,EGYENI,MIHAZANK
227758,01_002_027,HORVÁTH DIÁNA,2,EGYENI,MEMO
227758,01_002_027,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227760,01_002_028,TORDAI BENCE,259,EGYENI,OSSZEFOGAS22
227760,01_002_028,DR. GÓR CSABA,243,EGYENI,FIDESZ
227760,01_002_028,JUHÁSZ VERONIKA,14,EGYENI,MKKP
227760,01_002_028,NAGY ATTILA,13,EGYENI,MIHAZANK
227760,01_002_028,LÁZ JÓZSEF,2,EGYENI,KIS_NORMALIS
227760,01_002_028,HORVÁTH DIÁNA,2,EGYENI,MEMO
227762,01_002_029,TORDAI BENCE,207,EGYENI,OSSZEFOGAS22
227762,01_002_029,DR. GÓR CSABA,146,EGYENI,FIDESZ
227762,01_002_029,JUHÁSZ VERONIKA,15,EGYENI,MKKP
227762,01_002_029,NAGY ATTILA,5,EGYENI,MIHAZANK
227762,01_002_029,HORVÁTH DIÁNA,3,EGYENI,MEMO
227762,01_002_029,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227764,01_002_030,TORDAI BENCE,241,EGYENI,OSSZEFOGAS22
227764,01_002_030,DR. GÓR CSABA,160,EGYENI,FIDESZ
227764,01_002_030,JUHÁSZ VERONIKA,12,EGYENI,MKKP
227764,01_002_030,HORVÁTH DIÁNA,3,EGYENI,MEMO
227764,01_002_030,LÁZ JÓZSEF,2,EGYENI,KIS_NORMALIS
227766,01_002_031,TORDAI BENCE,434,EGYENI,OSSZEFOGAS22
227766,01_002_031,DR. GÓR CSABA,347,EGYENI,FIDESZ
227766,01_002_031,JUHÁSZ VERONIKA,29,EGYENI,MKKP
227766,01_002_031,NAGY ATTILA,12,EGYENI,MIHAZANK
227766,01_002_031,LÁZ JÓZSEF,5,EGYENI,KIS_NORMALIS
227766,01_002_031,HORVÁTH DIÁNA,2,EGYENI,MEMO
227768,01_002_032,TORDAI BENCE,389,EGYENI,OSSZEFOGAS22
227768,01_002_032,DR. GÓR CSABA,312,EGYENI,FIDESZ
227768,01_002_032,JUHÁSZ VERONIKA,27,EGYENI,MKKP
227768,01_002_032,NAGY ATTILA,8,EGYENI,MIHAZANK
227768,01_002_032,HORVÁTH DIÁNA,6,EGYENI,MEMO
227768,01_002_032,LÁZ JÓZSEF,5,EGYENI,KIS_NORMALIS
227770,01_002_033,TORDAI BENCE,367,EGYENI,OSSZEFOGAS22
227770,01_002_033,DR. GÓR CSABA,283,EGYENI,FIDESZ
227770,01_002_033,JUHÁSZ VERONIKA,22,EGYENI,MKKP
227770,01_002_033,NAGY ATTILA,6,EGYENI,MIHAZANK
227770,01_002_033,HORVÁTH DIÁNA,2,EGYENI,MEMO
227772,01_002_034,TORDAI BENCE,284,EGYENI,OSSZEFOGAS22
227772,01_002_034,DR. GÓR CSABA,225,EGYENI,FIDESZ
227772,01_002_034,JUHÁSZ VERONIKA,17,EGYENI,MKKP
227772,01_002_034,NAGY ATTILA,12,EGYENI,MIHAZANK
227772,01_002_034,HORVÁTH DIÁNA,7,EGYENI,MEMO
227772,01_002_034,LÁZ JÓZSEF,4,EGYENI,KIS_NORMALIS
227774,01_002_035,TORDAI BENCE,318,EGYENI,OSSZEFOGAS22
227774,01_002_035,DR. GÓR CSABA,297,EGYENI,FIDESZ
227774,01_002_035,NAGY ATTILA,26,EGYENI,MIHAZANK
227774,01_002_035,JUHÁSZ VERONIKA,23,EGYENI,MKKP
227774,01_002_035,LÁZ JÓZSEF,3,EGYENI,KIS_NORMALIS
227774,01_002_035,HORVÁTH DIÁNA,2,EGYENI,MEMO
227776,01_002_036,TORDAI BENCE,372,EGYENI,OSSZEFOGAS22
227776,01_002_036,DR. GÓR CSABA,307,EGYENI,FIDESZ
227776,01_002_036,JUHÁSZ VERONIKA,21,EGYENI,MKKP
227776,01_002_036,NAGY ATTILA,15,EGYENI,MIHAZANK
227776,01_002_036,HORVÁTH DIÁNA,5,EGYENI,MEMO
227776,01_002_036,LÁZ JÓZSEF,4,EGYENI,KIS_NORMALIS
227778,01_002_037,TORDAI BENCE,322,EGYENI,OSSZEFOGAS22
227778,01_002_037,DR. GÓR CSABA,319,EGYENI,FIDESZ
227778,01_002_037,JUHÁSZ VERONIKA,30,EGYENI,MKKP
227778,01_002_037,NAGY ATTILA,18,EGYENI,MIHAZANK
227778,01_002_037,HORVÁTH DIÁNA,8,EGYENI,MEMO
227778,01_002_037,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227780,01_002_038,DR. GÓR CSABA,397,EGYENI,FIDESZ
227780,01_002_038,TORDAI BENCE,380,EGYENI,OSSZEFOGAS22
227780,01_002_038,JUHÁSZ VERONIKA,22,EGYENI,MKKP
227780,01_002_038,HORVÁTH DIÁNA,17,EGYENI,MEMO
227780,01_002_038,NAGY ATTILA,14,EGYENI,MIHAZANK
227780,01_002_038,LÁZ JÓZSEF,2,EGYENI,KIS_NORMALIS
227782,01_002_039,DR. GÓR CSABA,378,EGYENI,FIDESZ
227782,01_002_039,TORDAI BENCE,331,EGYENI,OSSZEFOGAS22
227782,01_002_039,NAGY ATTILA,28,EGYENI,MIHAZANK
227782,01_002_039,JUHÁSZ VERONIKA,25,EGYENI,MKKP
227782,01_002_039,HORVÁTH DIÁNA,7,EGYENI,MEMO
227782,01_002_039,LÁZ JÓZSEF,1,EGYENI,KIS_NORMALIS
227784,01_002_040,DR. GÓR CSABA,335,EGYENI,FIDESZ
227784,01_002_040,TORDAI BENCE,309,EGYENI,OSSZEFOGAS22
227784,01_002_040,JUHÁSZ VERONIKA,17,EGYENI,MKKP
227784,01_002_040,NAGY ATTILA,16,EGYENI,MIHAZANK
227784,01_002_040,HORVÁTH DIÁNA,6,EGYENI,MEMO
227784,01_002_040,LÁZ JÓZSEF,5,EGYENI,KIS_NORMALIS
227786,01_002_041,DR. GÓR CSABA,328,EGYENI,FIDESZ
227786,01_002_041,TORDAI BENCE,241,EGYENI,OSSZEFOGAS22
227786,01_002_041,JUHÁSZ VERONIKA,24,EGYENI,MKKP
227786,01_002_041,NAGY ATTILA,22,EGYENI,MIHAZANK
